database,query_id,round_num,start_time,end_time,elapsed_ms,row_count,result_hash,success,error_message
YMatrix,q9,3,2026-08-04T04:05:28.055+00:00,2026-08-04T04:05:28.120+00:00,62.0,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
YMatrix,q14,4,2026-08-04T04:05:28.120+00:00,2026-08-04T04:05:28.141+00:00,18.27,1,cc146f704c1fe2fd031ef46c782a668650161668ef04b4cb6850fe029f576d66,True,
YMatrix,q16,4,2026-08-04T04:05:28.142+00:00,2026-08-04T04:05:28.176+00:00,21.99,2762,9681ce56918cd7141173026d87c26c9fd87afc62c46b45a2dbc5be1ef159a9b1,True,
YMatrix,q4,4,2026-08-04T04:05:28.176+00:00,2026-08-04T04:05:28.204+00:00,24.33,5,607206b8c5dc00a59ce05f563a151cd1cf956663ca50fa4d396ccb61b6a3503c,True,
YMatrix,q22,4,2026-08-04T04:05:28.204+00:00,2026-08-04T04:05:28.231+00:00,24.77,7,fdfb6921ca2a1f59f2b8b250a64d637c968d0f223b7ec6c5e4560f860a53180c,True,
YMatrix,q15,4,2026-08-04T04:05:28.231+00:00,2026-08-04T04:05:28.266+00:00,33.64,1,2696a2b1087e0db9ee3147b7dd4aa013894d005203cbc28cee3b704d7daded4a,True,
YMatrix,q18,4,2026-08-04T04:05:28.266+00:00,2026-08-04T04:05:28.644+00:00,375.99,5,a453ae8127ad1700722b5a8ff363bc7b3632bb2fa0490cdc74eddcdf156ec65a,True,
YMatrix,q7,4,2026-08-04T04:05:28.644+00:00,2026-08-04T04:05:28.710+00:00,32.76,4,6716e14755d4f5d95a6646ea58876b2b4239017cb84cf14b281ca4bdea3a394b,True,
YMatrix,q11,4,2026-08-04T04:05:28.710+00:00,2026-08-04T04:05:28.802+00:00,68.68,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
YMatrix,q6,4,2026-08-04T04:05:28.803+00:00,2026-08-04T04:05:28.830+00:00,23.93,1,2cdce46c156af217b6a76401d58b94624f8493520129e4b1e90830abc0643712,True,
YMatrix,q20,4,2026-08-04T04:05:28.830+00:00,2026-08-04T04:05:29.094+00:00,261.03,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
YMatrix,q12,4,2026-08-04T04:05:29.094+00:00,2026-08-04T04:05:29.190+00:00,78.68,2,eff0114ecfe105cd72843038cb84bcc3fac7bf1f70ec22e5b279e9bc5f49021c,True,
YMatrix,q1,4,2026-08-04T04:05:29.190+00:00,2026-08-04T04:05:29.342+00:00,149.85,4,4a63e850889beb8075f235a4ed15f79e0d08baf28d73d388c6b16b0106ddefe7,True,
YMatrix,q21,4,2026-08-04T04:05:29.343+00:00,2026-08-04T04:05:29.445+00:00,69.98,47,86efdec346cfebe32bacff5819615897f64fddcba4af9d82f5de544798cd2962,True,
YMatrix,q9,4,2026-08-04T04:05:29.446+00:00,2026-08-04T04:05:29.510+00:00,60.88,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
YMatrix,q10,4,2026-08-04T04:05:29.511+00:00,2026-08-04T04:05:29.824+00:00,310.83,20,77da45dd0218922612cd92c6f16e238b4184b43e42c5a0d1a3c37503d4954092,True,
YMatrix,q5,4,2026-08-04T04:05:29.824+00:00,2026-08-04T04:05:29.915+00:00,30.93,5,92e68b5940711975eadfef9cebcb6626c1b529a23731481d64f34508cc256489,True,
YMatrix,q17,4,2026-08-04T04:05:29.915+00:00,2026-08-04T04:05:30.043+00:00,126.1,1,9a3d1f3f694155da1dc0635e8777f636e07f15f895916bc0328a0fdce877187f,True,
YMatrix,q8,4,2026-08-04T04:05:30.043+00:00,2026-08-04T04:05:30.110+00:00,65.37,2,c60f2018a2cde9154f10ae17f3359590459867a81d2726859d9d85bad7e23aff,True,
YMatrix,q19,4,2026-08-04T04:05:30.110+00:00,2026-08-04T04:05:30.122+00:00,6.48,1,3e9305f88a3aef222e9d019af6a2e6f40303e9c9bf11a50d1562324a2d9f9e87,True,
YMatrix,q2,4,2026-08-04T04:05:30.122+00:00,2026-08-04T04:05:30.190+00:00,61.84,44,d7c945bcad8db1ca27d3ba6d14645d189d8cbf2e2ceac247d95e4cdc8f5ed661,True,
YMatrix,q13,4,2026-08-04T04:05:30.190+00:00,2026-08-04T04:05:30.250+00:00,55.87,37,42bb5b9d31ec606514a576fd0407ed6d51e63e11a1e1ea05c6039d89c29e8ee2,True,
YMatrix,q3,4,2026-08-04T04:05:30.251+00:00,2026-08-04T04:05:30.286+00:00,32.34,10,488b5292812c953c6be9763511c856b3e10b11829deb30c1bb1f505ba568402b,True,
YMatrix,q5,5,2026-08-04T04:05:30.286+00:00,2026-08-04T04:05:30.308+00:00,20.39,5,92e68b5940711975eadfef9cebcb6626c1b529a23731481d64f34508cc256489,True,
YMatrix,q6,5,2026-08-04T04:05:30.309+00:00,2026-08-04T04:05:30.331+00:00,21.39,1,2cdce46c156af217b6a76401d58b94624f8493520129e4b1e90830abc0643712,True,
YMatrix,q8,5,2026-08-04T04:05:30.331+00:00,2026-08-04T04:05:30.394+00:00,60.96,2,c60f2018a2cde9154f10ae17f3359590459867a81d2726859d9d85bad7e23aff,True,
YMatrix,q22,5,2026-08-04T04:05:30.394+00:00,2026-08-04T04:05:30.443+00:00,45.13,7,fdfb6921ca2a1f59f2b8b250a64d637c968d0f223b7ec6c5e4560f860a53180c,True,
YMatrix,q4,5,2026-08-04T04:05:30.443+00:00,2026-08-04T04:05:30.464+00:00,16.47,5,607206b8c5dc00a59ce05f563a151cd1cf956663ca50fa4d396ccb61b6a3503c,True,
YMatrix,q21,5,2026-08-04T04:05:30.464+00:00,2026-08-04T04:05:30.532+00:00,63.75,47,86efdec346cfebe32bacff5819615897f64fddcba4af9d82f5de544798cd2962,True,
YMatrix,q19,5,2026-08-04T04:05:30.532+00:00,2026-08-04T04:05:30.540+00:00,6.56,1,3e9305f88a3aef222e9d019af6a2e6f40303e9c9bf11a50d1562324a2d9f9e87,True,
YMatrix,q2,5,2026-08-04T04:05:30.541+00:00,2026-08-04T04:05:30.631+00:00,87.16,44,d7c945bcad8db1ca27d3ba6d14645d189d8cbf2e2ceac247d95e4cdc8f5ed661,True,
YMatrix,q17,5,2026-08-04T04:05:30.631+00:00,2026-08-04T04:05:30.748+00:00,110.58,1,9a3d1f3f694155da1dc0635e8777f636e07f15f895916bc0328a0fdce877187f,True,
YMatrix,q13,5,2026-08-04T04:05:30.748+00:00,2026-08-04T04:05:30.796+00:00,46.28,37,42bb5b9d31ec606514a576fd0407ed6d51e63e11a1e1ea05c6039d89c29e8ee2,True,
YMatrix,q1,5,2026-08-04T04:05:30.797+00:00,2026-08-04T04:05:30.920+00:00,120.84,4,4a63e850889beb8075f235a4ed15f79e0d08baf28d73d388c6b16b0106ddefe7,True,
YMatrix,q10,5,2026-08-04T04:05:30.920+00:00,2026-08-04T04:05:31.245+00:00,322.06,20,77da45dd0218922612cd92c6f16e238b4184b43e42c5a0d1a3c37503d4954092,True,
YMatrix,q20,5,2026-08-04T04:05:31.245+00:00,2026-08-04T04:05:31.541+00:00,245.86,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
YMatrix,q7,5,2026-08-04T04:05:31.541+00:00,2026-08-04T04:05:31.619+00:00,36.56,4,6716e14755d4f5d95a6646ea58876b2b4239017cb84cf14b281ca4bdea3a394b,True,
YMatrix,q16,5,2026-08-04T04:05:31.621+00:00,2026-08-04T04:05:31.681+00:00,26.61,2762,9681ce56918cd7141173026d87c26c9fd87afc62c46b45a2dbc5be1ef159a9b1,True,
YMatrix,q9,5,2026-08-04T04:05:31.681+00:00,2026-08-04T04:05:31.750+00:00,66.91,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
YMatrix,q11,5,2026-08-04T04:05:31.750+00:00,2026-08-04T04:05:31.823+00:00,65.21,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
YMatrix,q15,5,2026-08-04T04:05:31.823+00:00,2026-08-04T04:05:31.880+00:00,52.09,1,2696a2b1087e0db9ee3147b7dd4aa013894d005203cbc28cee3b704d7daded4a,True,
YMatrix,q18,5,2026-08-04T04:05:31.881+00:00,2026-08-04T04:05:32.346+00:00,463.44,5,a453ae8127ad1700722b5a8ff363bc7b3632bb2fa0490cdc74eddcdf156ec65a,True,
YMatrix,q14,5,2026-08-04T04:05:32.346+00:00,2026-08-04T04:05:32.401+00:00,24.14,1,cc146f704c1fe2fd031ef46c782a668650161668ef04b4cb6850fe029f576d66,True,
YMatrix,q3,5,2026-08-04T04:05:32.401+00:00,2026-08-04T04:05:32.437+00:00,34.3,10,488b5292812c953c6be9763511c856b3e10b11829deb30c1bb1f505ba568402b,True,
YMatrix,q12,5,2026-08-04T04:05:32.437+00:00,2026-08-04T04:05:32.490+00:00,50.74,2,eff0114ecfe105cd72843038cb84bcc3fac7bf1f70ec22e5b279e9bc5f49021c,True,
Greenplum,q3,1,2026-08-04T04:05:38.864+00:00,2026-08-04T04:05:39.085+00:00,218.99,10,488b5292812c953c6be9763511c856b3e10b11829deb30c1bb1f505ba568402b,True,
Greenplum,q11,1,2026-08-04T04:05:39.085+00:00,2026-08-04T04:05:39.276+00:00,162.13,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
Greenplum,q14,1,2026-08-04T04:05:39.276+00:00,2026-08-04T04:05:39.306+00:00,28.46,1,cc146f704c1fe2fd031ef46c782a668650161668ef04b4cb6850fe029f576d66,True,
Greenplum,q20,1,2026-08-04T04:05:39.306+00:00,2026-08-04T04:05:39.504+00:00,196.26,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
